smiles,solubility,logp
CCCC(=O)CC,-0.830000,1.950000
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886000,4.270000
CCC#CCC,-1.990000,2.720000
CC(C)C=C,-2.730000,2.230000
CC(C)C(C)O,-0.180000,1.140000
CC(C)C(=O)C,-0.120000,1.350000
CCC(C)CCO,-0.720000,1.540000
CCC(C)CCO,-0.710000,1.540000
CCC(C)C(=O)C,-0.670000,1.790000
CCCCC(C)(O)CC,-1.600000,2.470000
CCCC(C)(O)CC,-0.980000,2.020000
CCC(C)(O)CC,-0.360000,1.580000
CC(C)CCO,-0.510000,1.090000
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-7.920000,6.020000
CCCCC(C)CC,-5.160000,3.860000
Cc1c[nH]c2ccccc12,-2.420000,2.590000
CCC(C)CC,-3.680000,2.970000
Cc1cccc(O)c1,-0.680000,2.180000
CCCCCC(O)CC,-1.980000,2.630000
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523000,5.160000
CCC(O)CC,-0.240000,1.300000
CCC(=O)CC,-0.280000,1.510000
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678000,3.820000
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907000,2.930000
Clc1ccc(cc1)c2ccc(Cl)cc2,-6.560000,4.830000
Oc1ccc(Br)cc1,-1.090000,2.440000
Cc1ccc(Br)cc1,-3.190000,3.260000
COc1ccc(Cl)cc1,-2.780000,2.420000
Oc1ccc(Cl)cc1,-0.700000,2.270000
Cc1ccc(Cl)cc1,-3.080000,3.090000
CCc1ccc(C)cc1,-3.110000,3.440000
CCCC(O)CCC,-1.400000,2.190000
CCCC(=O)CCC,-1.300000,2.400000
c1(O)cc(O)ccc1CCCCCC,-2.590000,4.100000
Oc1ccncc1,1.020000,0.450000
CC(C)c1ccc(C)cc1,-3.770000,3.730000
COc1ncnc2nccnc12,-1.110000,0.140000
CC(C)CC(C)O,-0.800000,1.510000
CC(C)CC(=O)C,-0.740000,1.540000
Cc1ccc(cc1)c2ccccc2,-4.620000,4.130000
CC(C)CCCO,-1.140000,1.540000
Cc1ncnc2nccnc12,-0.466000,-0.170000
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.692000,1.150000
OCCCC=C,-0.150000,0.950000
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253000,1.490000
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593000,1.770000
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077000,1.000000
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766000,1.290000
O=C1NC(=O)NC(=O)C1(C)C,-1.742000,-0.170000
Oc2ccc1CCCCc1c2,-1.990000,3.120000
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.010000,5.970000
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614000,0.860000
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.708000,1.140000
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.160000,0.410000
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369000,1.550000
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658000,1.890000
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148000,1.000000
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322000,1.410000
Fc1c[nH]c(=O)[nH]c1=O,-1.077000,-0.660000
Oc1cccc2ncccc12,-2.540000,1.830000
O=C1NC(=O)NC(=O)C1(C)CC,-1.228000,0.270000
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.590000,5.460000
Nc1c(C)c[nH]c(=O)n1,-1.458000,-0.840000
CCCCC(=O)CCCC,-2.580000,3.290000
Nc3cc2c1ccccc1ccc2c4ccccc34,-6.200000,4.110000
Oc2ccc1ncccc1c2,-2.160000,1.830000
COc2cnc1ncncc1n2,-1.139000,0.140000
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.570000,5.460000
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.020000,5.970000
COc2cnc1cncnc1n2,-0.910000,0.140000
Cc2cnc1cncnc1n2,-0.854000,-0.170000
Oc1cccc2cccnc12,-2.420000,1.830000
Cc1c2ccccc2c(C)c3ccccc13,-6.570000,4.980000
c3ccc2c(O)c1ccccc1cc2c3,-4.730000,3.650000
Cc1c2ccccc2cc3ccccc13,-5.890000,4.470000
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237000,5.540000
C1Cc2cccc3cccc1c23,-4.630000,3.530000
C1=Cc2cccc3cccc1c23,-3.960000,3.330000
COP(=O)(NC(C)=O)SC,0.540000,-0.330000
CC(=O)N,1.580000,-1.030000
CC(=O)Nc1ccccc1,-1.330000,1.210000
CC(=O)Nc1nnc(s1)S(N)(=O)=O,-2.360000,-1.040000
CC#N,0.260000,-0.170000
CC(=O)c1ccccc1,-1.280000,1.530000
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.590000,0.500000
c3ccc2nc1ccccc1cc2c3,-3.670000,3.510000
C=CC=O,0.570000,0.370000
C=CC#N,0.150000,0.760000
Nc1ncnc2nc[nH]c12,-2.120000,-0.570000
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),-3.480000,3.010000
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.260000,3.590000
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O,-3.850000,1.060000
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307000,4.730000
NC(=O)NC1NC(=O)NC1=O,-1.600000,-2.360000
C=CCS(=O)SCC=C,-0.830000,2.020000
O=c1[nH]cnc2[nH]ncc12,-2.266000,-0.880000
O=C1NC(=O)C(=O)C(=O)N1,-1.250000,-0.910000
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.990000,-3.990000
CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364000,2.220000
CCNc1nc(NC(C)C)nc(SC)n1,-3.040000,2.600000
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-0.770000,-2.590000
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.360000,2.090000
CN(C)c2c(C)n(C)n(c1ccccc1)c2=O,-0.364000,1.150000
Nc1nccs1,-0.360000,0.490000
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.470000,5.410000
Nc1nc[nH]n1,0.522000,-0.560000
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468000,1.890000
Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624000,0.330000
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596000,1.470000
CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,-3.690000,3.930000
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402000,3.770000
COc1ccc(C=CC)cc1,-3.130000,2.940000
Nc1ccccc1,-0.410000,1.140000
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432000,3.600000
COc1ccccc1,-1.850000,1.820000
c1ccc2cc3ccccc3cc2c1,-6.350000,3.950000
O=C1c2ccccc2C(=O)c3ccccc13,-5.190000,2.920000
Cc1cc(=O)n(c2ccccc2)n1C,0.715000,1.220000
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.538000,2.380000
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931000,5.000000
CCNc1nc(NC(C)C)nc(OC)n1,-2.084000,1.810000
CCNc1nc(Cl)nc(NC(C)C)n1,-3.850000,2.200000
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716000,1.340000
N(=Nc1ccccc1)c2ccccc2,-4.450000,4.380000
CNC(=O)C=C(C)OP(=O)(OC)OC,0.651000,-0.470000
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.370000,3.570000
O=C1NC(=O)NC(=O)C1(CC)CC,-2.400000,0.720000
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.590000,1.700000
CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.530000,4.520000
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.710000,3.500000
c1c(NC(=O)c2ccccc2(I))cccc1,-4.210000,3.990000
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883000,2.330000
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.200000,3.450000
O=Cc1ccccc1,-1.190000,1.690000
NC(=O)c1ccccc1,-0.960000,0.820000
c1ccccc1,-1.640000,1.970000
c1ccccc1C(O)c2ccccc2,-2.550000,2.990000
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.810000,1.320000
C1c2ccccc2c3ccc4ccccc4c13,-6.680000,4.730000
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699000,5.270000
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.230000,5.270000
C1c2ccccc2c3cc4ccccc4cc13,-8.040000,4.730000
c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,-7.800000,5.270000
c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-8.000000,5.270000
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.490000,5.270000
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018000,5.610000
CCOC(=O)c1ccc(N)cc1,-2.616000,1.500000
OC(C(=O)c1ccccc1)c2ccccc2,-2.850000,2.650000
N#Cc1ccccc1,-1.000000,1.830000
O=C(c1ccccc1)c2ccccc2,-3.120000,3.430000
c2ccc1scnc1c2,-1.500000,2.110000
c2ccc1[nH]nnc1c2,-0.780000,1.300000
c2ccc1ocnc1c2,-1.160000,1.320000
ClCc1ccccc1,-2.390000,2.560000
FC(F)(F)c1ccccc1,-2.510000,2.850000
NC(=O)NCc1ccccc1,-0.950000,0.580000
CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-4.710000,3.710000
C(Cc1ccccc1)c2ccccc2,-4.620000,4.510000
c1ccc(cc1)c2ccccc2,-4.345000,3.620000
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4,-5.400000,4.710000
CC1(C)C2CCC1(C)C(O)C2,-2.320000,1.990000
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523000,1.690000
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5,-4.445000,6.500000
Brc1ccccc1,-2.550000,2.740000
ClCBr,-0.890000,1.130000
BrC(Cl)Cl,-1.540000,1.980000
CCBr,-1.090000,1.380000
CBr,-0.790000,1.020000
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.090000,4.640000
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2,-4.930000,5.010000
Oc1c(Br)cc(C#N)cc1Br,-3.330000,3.060000
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127000,1.270000
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.160000,2.220000
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.390000,1.450000
c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,-4.240000,4.560000
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.190000,4.920000
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.647000,1.830000
CCCCOC(=O)c1ccc(N)cc1,-3.082000,2.470000
CCC(C)O,0.470000,0.780000
CCCC,-2.570000,2.240000
CCCCS,-2.180000,2.060000
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661000,1.610000
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877000,1.030000
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.900000,2.570000
CCCCOC=O,-1.370000,1.200000
CCSC(=O)N(CC(C)C)CC(C)C,-3.680000,3.530000
CCCCc1ccccc1,-4.060000,3.820000
CCCC=O,-0.010000,0.760000
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.876000,-0.550000
CC1(C)C2CCC1(C)C(=O)C2,-1.960000,2.550000
CCCCCC=O,-1.300000,1.650000
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.400000,3.950000
O=C(Nc1ccccc1)Nc2ccccc2,-3.150000,3.120000
CNC(=O)Oc1cccc2ccccc12,-3.224000,2.460000
c1ccc2c(c1)[nH]c3ccccc32,-5.270000,3.090000
c1c(NC(=O)OC(C)C(=O)NCC)cccc1,-1.830000,1.650000
CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.800000,2.050000
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000,4.890000
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.140000,1.510000
CCC(Br)(CC)C(=O)NC(N)=O,-2.680000,1.390000
c1(O)c(C)ccc(C(C)C)c1,-2.080000,3.430000
CC(=C)C1CC=C(C)C(=O)C1,-2.060000,2.550000
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,-1.840000,0.080000
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,-2.111000,0.880000
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.411000,3.770000
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924000,2.850000
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-2.617000,3.080000
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.860000,5.270000
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl,-5.640000,4.620000
CN(C)C=Nc1ccc(Cl)cc1C,-2.860000,2.700000
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.576000,2.200000
NC(=O)CCl,-0.020000,-0.490000
ClCC#N,-0.092000,0.370000
Clc1ccccc1,-2.380000,2.580000
ClC(Br)Br,-1.900000,2.130000
ClCC,-1.060000,1.190000
ClC=C,-1.750000,1.420000
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.380000,3.210000
ClC(Cl)(Cl)N(=O)=O,-2.000000,2.470000
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.530000,4.680000
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.640000,4.100000
NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl,-3.050000,-0.310000
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.460000,2.440000
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.890000,3.430000
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.670000,4.780000
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),-5.430000,3.720000
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-3.451000,1.600000
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483000,2.440000
Clc2ccc1oc(=O)[nH]c1c2,-2.831000,1.940000
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.850000,5.500000
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057000,4.940000
Cl\C=C/Cl,-1.300000,1.740000
C/C1CCCCC1\C,-4.300000,3.240000
CC/C=C\C,-2.540000,2.320000
CC(C)=CCCC(C)=CC(=O),-2.060000,2.660000
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338000,2.930000
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499000,3.150000
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332000,5.940000
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.240000,2.020000
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.110000,1.660000
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,-4.210000,2.100000
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839000,3.350000
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382000,4.150000
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,-2.840000,3.790000
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.150000,1.960000
CCSC(=O)N(CC)C1CCCCC1,-3.400000,3.200000
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,-2.170000,1.470000
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655000,-0.190000
C1CCCCCC1,-3.510000,3.110000
OC1CCCCCC1,-0.880000,1.730000
C1CCC=CCC1,-3.180000,2.750000
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168000,1.140000
C1CCCCC1,-3.100000,2.670000
OC1CCCCC1,-0.440000,1.280000
O=C1CCCCC1,-0.600000,1.490000
C1CCC=CC1,-2.590000,2.310000
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,-1.130000,0.900000
O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.060000,0.700000
C1CCCCCCC1,-4.150000,3.560000
OC1CCCCCCC1,-1.290000,2.170000
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982000,1.590000
C1CCCC1,-2.640000,2.220000
C1CC=CC1,-2.100000,1.860000
O=C2NC(=O)C1(CCCC1)C(=O)N2,-2.349000,0.250000
O=C2NC(=O)C1(CC1)C(=O)N2,-1.886000,-0.640000
CN(C)C(=O)NC1CCCCCCC1,-2.218000,2.000000
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000,5.590000
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176000,5.680000
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000,5.440000
Nc1cc[nH]c(=O)n1,-1.155000,-1.240000
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000,3.460000
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094000,1.270000
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.200000,6.110000
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.900000,6.110000
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.150000,6.460000
C1CCC2CCCCC2C1,-5.190000,3.670000
CCCCSP(=O)(SCCCC)SCCCC,-5.140000,5.570000
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000,5.740000
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.450000,3.330000
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-4.630000,3.770000
CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2,-4.632000,3.700000
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.590000,1.680000
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O,-4.900000,2.120000
CC2(C)C1CCC(C)(C1)C2=O,-1.850000,3.060000
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.960000,8.030000
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.340000,3.820000
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.340000,3.820000
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.286000,3.360000
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754000,3.080000
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.640000,4.190000
o1c2ccccc2c3ccccc13,-4.600000,3.150000
c1ccc2c(c1)sc3ccccc23,-4.380000,3.940000
BrCBr,-1.170000,1.040000
CCCCOCCCC,-1.850000,2.770000
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896000,5.210000
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.400000,4.630000
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.310000,3.210000
ClCCl,-0.630000,1.290000
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-3.953000,4.670000
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666000,5.560000
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.290000,3.950000
CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.950000,4.830000
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278000,5.130000
CCOCC,-0.090000,0.840000
CCOC(=O)c1ccccc1C(=O)OCC,-2.350000,2.690000
CCSCC,-1.340000,1.730000
CCSSCC,-2.420000,2.010000
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.070000,5.190000
COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-4.160000,2.670000
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,-6.020000,3.610000
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-5.293000,3.600000
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081000,2.370000
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144000,6.410000
ICI,-2.340000,2.480000
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.637000,7.870000
CC(C)OC(C)C,-1.100000,1.670000
CC(C)SC(C)C,-2.240000,2.360000
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523000,1.010000
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328000,3.440000
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.850000,1.270000
CCCCc1c(C)nc(nc1O)N(C)C,-2.240000,3.110000
COCOC,0.480000,0.190000
COC(=O)c1ccccc1C(=O)OC,-1.660000,1.980000
CSC,-0.450000,1.220000
CSSC,-1.440000,1.350000
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.470000,3.370000
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O,-3.380000,3.240000
OC1C(O)C(O)C(O)C(O)C1O,0.350000,-3.780000
CCCSCCC,-2.580000,2.770000
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-5.115000,8.180000
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.320000,4.400000
CNC(=O)Oc1ccccc1C2OCCO2,-1.570000,1.450000
CN(C)C(=O)C(c1ccccc1)c2ccccc2,-2.980000,2.930000
O(c1ccccc1)c2ccccc2,-3.960000,3.470000
N(c1ccccc1)c2ccccc2,-3.504000,3.410000
C(c1ccccc1)c2ccccc2,-4.080000,4.070000
CCCOCCC,-1.620000,1.880000
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.860000,4.160000
CCOP(=S)(OCC)SCCSCC,-4.230000,3.030000
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.350000,2.480000
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.800000,2.530000
CC1=CCC(CC1)C(C)=C,-4.260000,3.220000
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-1.456000,2.060000
CCOc1ccc(NC(N)=O)cc1,-2.170000,1.080000
